ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Media_IDs,comment,comment_french
-a-,xed,-a-,gram,,,"inserted after the first consonant of the verbal root, codes plurality of the object, plurality of the intransitive subject, or plurality of the event","insérée après la première consonne de la racine verbale, encode la pluralité de l’objet, la pluralité du sujet intransitif ou la pluralité de l’événement"
LX000001,xed,bə̀rzlà,v unsp,,,,
LX000002,xed,bə̀rzlà-kú,vn,,,,
LX000003,xed,bgə̀,n,,2ab512ceffb19ac210343abdd0c8fdb5,,
LX000004,xed,bgìnì,n,,70fb493d22a1d9031b471dda8557b8a1,,
LX000005,xed,ɓlà,v.tr,,,transitive only,
LX000006,xed,ɓl-ú-ɓlà,v,,b1e3e5ce4687f958c0c9baac3efc3b5c,,
LX000007,xed,ɓl-í-ɗí-m-ɓlà,v.tr,,5dd137a060776460c44d277bd112ece8,,
LX000008,xed,blàházà,n,,90834ed3921e1772813bea76581fd6cf,,
LX000009,xed,blèkwí,n,,e5bf89523152e08d888da5352cb64fbc,,
LX000010,xed,ɓl-í-n-ɓlà,v,,995b11be7ade4091c4d65b7a13817bc8,,
LX000011,xed,ɓl-íŋ-ɓlà,v.tr,,390a6a8d9521bc048fe3f1bcb20771d5,,
LX000012,xed,ɓlíŋɓlà,v,,862acd78533472b5cc30b4b8784ab36f,,
LX000013,xed,ɓlèví,n,,884482c668d0f82d216b760fc5f47c17,,
LX000014,xed,ɓlèvìzíŋ,n,,4c761152fc62080af567a42154469045,,
LX000015,xed,brá,n,,e289fe9b0f20f7d0deb338100941258e,,
LX000016,xed,ɓxà,v.intr,,8222947176e9394997099a6580d68321,,
LX000017,xed,bzlèghwà,n,,0f55c2b4f5ce6fccdc73a3652fabc70f,,
LX000018,xed,bà,v.tr,,e337477d2e943d983a465034d1b0d642,,
LX000019,xed,bá,conj,,,,
LX000020,xed,ɓá,gram,,,,
LX000021,xed,bàbàlá,n,,d6dfcd30452b6ab3fc9fe759d9db4788,,
LX000022,xed,ɓáɓàx,n,,7d297c302db6a1fda83504b557d4ee2d,,
LX000023,xed,bádzá,v unsp,,4ccbe698afe17e9b298185c38f8a8e01,Variant: ɓádzá,
LX000024,xed,ɓádzá,v unsp,,d998b03f69411e2779c11fc7d45c1b6d,,
LX000025,xed,bàdzàgà,n,,bdcf1d59b02206e5dc8f40d79df01df2,,
LX000026,xed,búɗá,n,,,,
LX000027,xed,bàɗú,n,,42fe7d3fb4d60e3130b937c3092f4b83,,
LX000028,xed,ɓìdá,n,,2092d5e0670c699b2de0340e88169bd7,,
LX000029,xed,bìdìrwísà,n,,19841683e3b60bdcc1692a32d8c83ace,,
LX000030,xed,bághá,v.intr,,,,
LX000031,xed,bághákú,vn,,8615297e8e1c70234aab2feecea249c4,,
LX000032,xed,búkwá,v unsp,,56bc5ec2f8b032b3c4456240cb6b9e61,,
LX000033,xed,búkwá,vn,,,,
LX000034,xed,búkwá-f-búkwá,v,,5b332e1a69e830f33bcb4107d38d5c41,,
LX000035,xed,bùkwá'à,n,,28fef7fc6cbd117a384b6baa648107ec,,
LX000036,xed,bèkúlá,n,,,,
LX000037,xed,ɓálá,n,,1ea4a33bfc76c78c44a32b4c7548d112,,
LX000038,xed,bà-n-bà,v,,,,
LX000039,xed,ɓángàl,n,,28d8f561babb28ea54c7224183a8f084,,
LX000040,xed,búnà,n,,0d7c8b6e70c0901fd9f3047b79c179a7,there is no separate name for the upper grinding stone,
LX000041,xed,bà-ná-f-bà,v,,,,
LX000042,xed,ɓàràká,v,,3356bbf6e8ffc8d1c4e12eb83913298d,,
LX000043,xed,ɓàsá,v,,fc68c0deb413677216fe725039c5da69,,
LX000044,xed,ɓáts,adv,,932952b16371d597cf69585c3fc6b961,,
LX000045,xed,bátá mákwà,v,,12aeb2141a90ec57bf3a24fac36dd4a0,,
LX000046,xed,ɓézdà,v unsp,,5283fa77091794e1b98fd314c16ba62e,,
LX000047,xed,bézlá,v.tr,,,,
LX000048,xed,bízì,n,,506ebf34089009dea8f325d0d45af5cc,,
LX000049,xed,də́blə́m,n,,,,
LX000050,xed,də̀ɗə̀m,n,,,,
LX000051,xed,də̀ɗàkú,vn,,9f7c383541a72ea5c34bb66f41d86491,,
LX000052,xed,ɗə̀ghwán,n,,,,
LX000053,xed,də̀ŋ,n,,726c7673a433025b9a4aa16f86a043e7,,
LX000054,xed,də́r,adv,,5185b51e28c1b6c2368e6340bb74c87f,,
LX000055,xed,də̀r,adv,,b57be15a5df040b938368ae32ff729dc,,
LX000056,xed,də́rmə́k,num,,aac1c7fb5677dc742ba7cb8a752d1adb,,
LX000057,xed,də̀rmùk,num,,,,
LX000058,xed,də̀rmùk xìs,num,,,,
LX000059,xed,də́rŋə́zl,adj,,0dbfabcb8f880f1287aadd774b66f787,,
LX000060,xed,də̀ʼár,n,,5ca0a9200ec6fcf741dc0bd3cc1bc75b,,
LX000061,xed,ɗghwáná,adj,,,,
LX000062,xed,ɗghá,n,,,,
