ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_IDs,Sense_IDs,alt_translation1
XV000001,xed,bə̀rzlú- bə̀rzlà,,,the water ran,,,,SN000002,l’eau a coulé
XV000002,xed,bə̀rzl-íŋ-bə̀rzlà,,,he ran the water,,,,SN000002,il a fait couler l’eau
XV000003,xed,bgà hlká dùsúm,,,"bundle of stalks of corn, or of wood",,,c6061d8fcb13d5ec294d389dc84692f6,SN000004,"paquet de tiges de céréales, fagot"
XV000004,xed,bgà xàsú’ù,,,firewood,,,d03b4b1f9c67ac6df1e9cf45a8cf836d,SN000004,tas de bois à brûler
XV000005,xed,ɓàlà-ghú-ná-p-ɓàlà,,,he broke you (pl),,,,SN000006,il vous a brisés
XV000006,xed,ɓlà-ná-p-ɓlà,,,"he broke something into two parts, cannot be used with first person plural",,,fc0e12c5e0114be3f327bab3b6ac4257,SN000006,"il a cassé quelque chose en deux, ne peut s’employer à la 1e personne du pluriel"
XV000007,xed,*ɓlà-ŋ-ná-p-ɓlà,,,for 'he broke us',,,,SN000006,pour 'il nous a brisés'
XV000008,xed,ɓlá,,,break!,,,1c81eba5d4afdf405aada7528c122899,SN000006,casse!
XV000009,xed,ɓlá-ɓlà,,,"he broke (something), break!",,,a236be6f38848ce3e9c8ded9023489a3,SN000006,"il l’a cassé(e), casse!"
XV000010,xed,ɓlà-gá-ghà-ɓlà,,,break and bring here,,,92c4544a9ed6e5c66cfe500b281a8a4d,SN000006,casser et apporter ici
XV000011,xed,ɓlá-ghá-ɓlá,,,break and go,,,109a1be029f6153312b2436f47c2771f,SN000006,casser et partir avec
XV000012,xed,ɓlá-gh-ó-ɓlá,,,get broken,,,c530d5879bdf0c4b5468754c061ae729,SN000006,être cassé et séparé du reste de l’objet
XV000013,xed,ɓlà-k-ɓlà,,,break and bring,,,bb75bf865a0e4e4cef7f44e3933087ec,SN000006,casser et apporter
XV000014,xed,ɓlá-m-ɓlà,,,break something while putting it in,,,fa917bebce0cdac74b5cb410bd239c13,SN000006,casser (une chose) alors qu’on tente de l’introduire dans quelque chose
XV000015,xed,ɓlá-ná-f-ɓlà,,,"break something to give a part to somebody, in imperative it has an offensive meaning",,,,SN000006,"casser quelque chose pour en donner une partie, à l’impératif, a un sens grossier 'break and give him', 'casse-la et donne-la-lui!'"
XV000016,xed,ɓlá-ná-ghá-ɓlá,,,break and add,,,358a42c0b36f4a69bf23827c27269476,SN000006,casser et ajouter
XV000017,xed,ɓlà-ná-p-ɓlà,,,break into two,,,,SN000006,casser en deux
XV000018,xed,ɓl-íŋ-ɓlà,,,break and leave,,,,SN000006,casser et laisser
XV000019,xed,ɓl-ú-ɓlà lìgàmà yá fú yá,,,a branch of that tree has broken,,,,SN000012,une branche de cet arbre s’est cassée toute seule
XV000020,xed,brá ghàtálàkw,,,a brood of chickens,,,1de72370f2bc84f20a8cddd575f436fd,SN000016,un troupeau de poules
XV000021,xed,brá gùxà,,,a herd of goats,,,7bbee00df074e53bb27909eb0974c2f8,SN000016,un troupeau de chèvres
XV000022,xed,brá twàk,,,a herd of sheep,,,de86d8a905fcfb285d268aebb70e2e98,SN000016,un troupeau de moutons
XV000023,xed,ɓxà-dá-gh-í ɓxà-dá-gh-í tví,,,I did not pass by there,,,5ac97c9f679ac83f4028c980cd4ad9d7,SN000017,je ne suis pas passé par là
XV000024,xed,ɓxà-dá-gh-íyù tví tsá wà,,,I did not get there,,,,SN000017,je ne suis pas allé jusque-là
XV000025,xed,bí-dí-ɗí-f-bà,,,he built for me/ build for me!,,,f2b1ba1a9d1aad40b2456ab541d006a7,SN000019,il m’a construit/construit moi quelque chose!
XV000026,xed,bí-dí-ɗí-f-bà tá xgá,,,he built me a house,,,,SN000019,il m’a construit une maison
XV000027,xed,bà-ná-f-bà,,,build for someone,,,,SN000019,construir pour quelqu'un
XV000028,xed,bà-n-bà,,,he participated somewhat in construction,,,,SN000019,il a participé un peu dans la construction
XV000029,xed,bá-bà-f-bá-bà,,,pl. ‘he built many things’ (not the same thing many times),,,51636237bfbe1be51b8d5ca7847ede3d,SN000019,il a construit plusieurs choses
XV000030,xed,b-ù-bá tá xgà yà,,,the house has been built,,,,SN000019,la maison a été construite
XV000031,xed,bàbà tá ghúvì,,,he defecated a lot,,,9873995825c821a62463567031f89ec2,SN000019,il a defequé beacoup
XV000032,xed,kà bádz-í-ŋ-bádzá kúní,,,if you (pl) spoil it,,,,SN000024,si tu le gâtes
XV000033,xed,bá-bádz-ú-bá-bádzá,,,things got spoiled,,,,SN000024,les choses se sont gâté
XV000034,xed,bádz-ú-bádzá,,,get spoiled,,,,SN000024,"se gâter, se détériorer"
XV000035,xed,bá bádz-ú-bábádzá,,,they got spoiled,,,,SN000024,ils se sont abîmés
XV000036,xed,bádz-ú-bádzá mwátà,,,the car got spoiled,,,,SN000024,la voiture s’est abîmée
XV000037,xed,bádz-íŋ-bádzá tá mótà,,,he ruined the car,,,,SN000024,il a abîmé la voiture
XV000038,xed,ɓádz-ú-ɓádzá,,,get spoiled,,,,SN000025,"se gater, detteriorer"
XV000039,xed,ɓá ɓádz-ú-ɓáɓádzá,,,they got spoiled,,,,SN000025,they got spoiled
XV000040,xed,ɓádz-ú-ɓádzá mwátà,,,the car got spoiled,,,,SN000025,la voiture s’est gaté
XV000041,xed,ɓádz-íŋ-ɓádzá tá mótà,,,he ruined the car,,,,SN000025,il a gâté la voiture
XV000042,xed,bághá-f-bágh-í,,,I was satisfied,,,bfa2c4f691771c1ac39a737293db4f0f,SN000031,j’ai été rasassié
XV000043,xed,bághà-ná-f-tà,,,having satiated him,,,,SN000031,l'avoir rassasié(e)
XV000044,xed,bú-búkwá-ná-ghá-bú-búkwá,,,he covered many things,,,,SN000033,il a couvert beacoup de choses
XV000045,xed,búkw-áf-tà,,,cover something,,,,SN000033,couvrir qqch
XV000046,xed,búkwá-vá-búkwà,,,cover onself,,,,SN000033,se couvrir
XV000047,xed,búkwá-vá-búkw-í tá lgùt,,,I covered myself with a cloth,,,50d24004ff98e091c0088972f7cdc38e,SN000033,je me suis couvert avec une étoffe
XV000048,xed,ɓàràká ɓàràká,,,to trot,,,,SN000043,participer aux mouvements rythmés de la danse de deuil
XV000049,xed,ɓàràká-f-ɓàràkú lú tá tsá xàlá tá mndú tá mtútà yá,,,one celebrated (through a trotting dance) the advanced age of the dead person,,,,SN000043,on a effectué une danse trottée en l’honneur du grand âge de la personne défunte
XV000050,xed,ɓàsá másáɓì,,,to have a cold,,,f65e5952d1eb4eba25b7e2670532a146,SN000044,être enrhumé
XV000051,xed,bátá-f-bátá tá mákwà,,,he succesfully courted a girl,,,6ef8f8d77e57f6046077068054f783b2,SN000046,il a courtisé une fille avec succès
XV000052,xed,bátá-n-bátá tá mákwà,,,he courted a girl unsuccesfully (not: he tried to court a girl),,,,SN000046,"il a courtisé une fille, sans succès"
XV000053,xed,ɓézdà-ná-ɡhá-ɓézdà,,,add more,,,4d6cedede59f75bbebc790770ee941f3,SN000047,"ajouter, augmenter"
XV000054,xed,ɓézdà-vá-ɡhá-ɓézdà,,,things increased,,,1adffd539a7fea13dd9e8fe3827937cc,SN000047,cela a augmenté
XV000055,xed,bézlá-xə̀n mìstá-táŋ,,,they followed them,,,,SN000048,ils les ont suivi(e)s
XV000056,xed,də̀ɗàkwá fìtík,,,sunset,,,830c27be67533162c697c21cac05b491,SN000052,coucher du soleil
XV000057,xed,mbàɗ ká-xə̀n tàmá kà dghàɗ-áy,,,and now they are chewing it (the beans),,,,SN000067,Et maintenent ils sont en train de mâcher (les haricots)
XV000058,xed,dgà-ná-dgá tá xàsú’ù,,,he separated the wood,,,,SN000068,il a partagé le bois
XV000059,xed,dgá-v-ghá,,,separation,,,,SN000068,separation
XV000060,xed,dgà-ná-tà,,,share something,,,,SN000068,partager quelque chose
XV000061,xed,dgà-vá-p-dgá-xə̀n,,,"they divided themselves, separated,",,,,SN000068,"ils se sont séparés, divisés"
XV000062,xed,dgà-ná-p-dgà tá xàsú’ù,,,he divided wood,,,,SN000068,il a partagé le bois
XV000063,xed,dgà-v-dgà-xə̀n tá xàsú’ù,,,they divided wood among themselves,,,,SN000068,ils se sont partagé le bois entre eux
XV000064,xed,dg-ù-v-dgà-xə̀n tá xàsú’ù,,,they divided wood among themselves,,,,SN000068,ils se sont partagé le bois entre eux
XV000065,xed,dgà-dgà-xə̀n tá vghá,,,they divided themselves,,,,SN000068,ils se sont divisés
