ID,Description,Entry_ID,Comparison_Meaning,Concepticon_ID,Media_IDs,Scientific_Name,Semantic_Domain,alt_translation1
SN000001,[verbal plural marker],-a-,,,,,,[marque du pluriel verbal]
SN000002,run,LX000001,RUN [1519],1519,,,,couler; gicler (sang)
SN000003,running,LX000002,,,,,,giclée
SN000004,bundle of long things,LX000003,,,,,,paquet d’objets longs
SN000005,bad spirit,LX000004,,,,,,mauvais esprit
SN000006,break; tear,LX000005,BREAK (CLEAVE) [2558],,,,,briser; casser
SN000007,get broken,LX000006,,,,,,se casser
SN000008,break for me and put it in,LX000007,,,,,,casse-m’en et mets-le dedans
SN000009,bilharzia,LX000008,,,,,,bilharziose
SN000010,threshing floor,LX000009,,,196841dabd4a41a06f088d1bd4e9cdbf,,,aire de battage
SN000011,break in order/and to put under,LX000010,,,,,,casser et/pour mettre dessous
SN000012,"break just like that, with no reason",LX000011,,,,,,casser sans raison
SN000013,have broken and left,LX000012,,,,,,avoir casse et laisser
SN000014,a kind of tree,LX000013,,,,Ziziphus mauritiana,botanical,espèce d'arbre
SN000015,a kind of tree whose fruit has a tart taste,LX000014,,,,Ziziphus mucronata,botanical,"espèce d'arbre, fruit à goût âcre"
SN000016,flock,LX000015,,,,,,troupeau
SN000017,arrive; pass,LX000016,ARRIVE (OF AN EVENT) [2212],,,,,arriver; passer
SN000018,water pot,LX000017,,,6397deb6def4364cf1d2f17b9abe3df5,,,canari pour transporter ou conserver de l’eau
SN000019,build; pile up,LX000018,BUILD [1840] ; PILE UP [1576],,,,,construir; entasser
SN000020,except; only,LX000019,ONLY [1580],1580,,,,seulement; excepté
SN000021,[hypothetical marker],LX000020,,,,,,marquer de l'hypothétique
SN000022,a kind of tree,LX000021,TREE [906],906,,Ficus platyphylla,botanical,espèce d'arbre
SN000023,shoe,LX000022,SHOE [1381],1381,,,,chaussure; soulier
SN000024,spoil,LX000023,SPOIL (SOMEBODY OR SOMETHING) [92],,,,,gater
SN000025,spoil,LX000024,SPOIL (SOMEBODY OR SOMETHING) [92],,,,,gate!
SN000026,shoulder,LX000025,SHOULDER [1482],1482,,,,épaule
SN000027,bracelet; armlet; bangle,LX000026,BRACELET [1754],1754,2b3a1c8b5eac1b2f22e8bd5ae5174a26,,,bracelet en fer (porte-bonheur ou talisman)
SN000028,day,LX000027,DAY (24 HOURS) [1260],,,,,le jour
SN000029,millet,LX000028,MILLET [931],931,,,botanical,mil penicellaire
SN000030,hornets,LX000029,,,,Vespidae,entomological,frelons; polistes
SN000031,satiate (with food only),LX000030,,,,,,rassasier; satisfaire
SN000032,satisfaction,LX000031,,,,,,satisfaction
SN000033,cover,LX000032,COVER [761],761,,,,couvrir
SN000034,cover; protection,LX000033,,,,,,couverture
SN000035,shelter,LX000034,,,,,,couvrir; boucher
SN000036,lie,LX000035,LIE (MISLEAD) [601],,,,,mensonge
SN000037,bird; bulbul,LX000036,BIRD [937],937,,,ornithological,oiseau; bulbul
SN000038,the other side of anything (of the road; river; wall),LX000037,,,,,,l’autre côté (de n’importe quoi: route; fleuve; mur…)
SN000039,participate somewhat in construction,LX000038,,,,,,participer un peu à la construction
SN000040,marriage,LX000039,MARRIAGE [2432],2432,,,,mariage
SN000041,lower grinding stone or both grinding stones,LX000040,,,,,,pierre taillée et amenagée pour moudre les grains de cereals
SN000042,build for someone,LX000041,,,,,,construir pour quelqu'un
SN000043,trot (about a horse); trot like a horse (about crowds dancing during the mourning celebration),LX000042,,,,,,trotter (cheval); trotter comme un cheval (foule qui danse pendant les cérémonies de deuil)
SN000044,suffer; wait; get nervous,LX000043,SUFFER [1101],1101,,,,souffrir; être dans l’expectative; être inquiet
SN000045,little time,LX000044,,,,,,un peu de temps
SN000046,court a girl,LX000045,,,083f00be70a93b0dfee82728a537b29d,,,courtiser une fille
SN000047,increase,LX000046,INCREASE [1041],1041,,,,augmenter
SN000048,affront; follow somebody to engage him,LX000047,,,,,,"affronter quelqu'un; suivre quelqu'un pour l’engager à se battre, provoquer"
SN000049,pubic apron,LX000048,,,,,,cache-sexe
SN000050,name of clan,LX000049,,,,,ethnonyme,nom de clan
SN000051,a variety of green worm; appears in the rainy season; can devastate green plants,LX000050,,,,,,espece de ver devastateur de plante verte
SN000052,the fall,LX000051,,,,,,chute
SN000053,health,LX000052,,,,,,santé
SN000054,stick used for defense,LX000053,,,,,,massue
